step,scope,parent_section,section,level,mpi_avg_sec,mpi_max_sec,mpi_min_sec,thread_avg_sec,thread_max_sec,thread_min_sec,uniform_particle_count,ave_particle_count,var_particle_count,cov_particle_count
0,ensemble_generate_particles,omp_uniform_sampling,uniform_particle_count_calculation,2,0,0,1.79769313e+308,0.00315382176,0.003781,0.003003,51795075,621900,671521,986570
0,ensemble_generate_particles,omp_uniform_sampling,uniform_particle_sampling_loop,2,0,0,1.79769313e+308,0.075084419,0.07654,0.071355,51795075,621900,671521,986570
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_local_coord_generation,3,0,0,1.79769313e+308,0.00552116435,0.006215,0.005261,51795075,621900,671521,986570
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_flush_prepare,3,0,0,1.79769313e+308,0.00826891667,0.00876,0.008001,51795075,621900,671521,986570
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_calculate_scalars_array,3,0,0,1.79769313e+308,0.0459074306,0.047572,0.044139,51795075,621900,671521,986570
0,ensemble_generate_particles,uniform_particle_sampling_loop,uniform_store_particle_data,3,0,0,1.79769313e+308,0.00938963426,0.010521,0.006839,51795075,621900,671521,986570
0,ensemble_generate_particles,omp_uniform_sampling,thread_particle_merge,2,0,0,1.79769313e+308,0.0886021157,0.218972,0.003446,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,mpi_shift_exchange,1,0.760890056,0.901915,0.716711,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,mpi_shift_exchange,mpi_shift_size_exchange,2,0.0140709722,0.138034,0.000697,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,mpi_shift_exchange,mpi_shift_alloc_recv_buffer,2,0.116852611,0.13241,0.109454,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,mpi_shift_exchange,mpi_shift_payload_all,2,0.179227333,0.309833,0.145711,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,mpi_shift_exchange,omp_shift_interpolation,2,0.45064225,0.62712,0.443716,0.450480593,0.62699,0.443509,51795075,621900,671521,986570
0,ensemble_generate_particles,omp_shift_interpolation,shift_calculate_scalars_array,3,0,0,1.79769313e+308,0.358363421,0.385918,0.35663,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,stat_average_variance,1,0.0132709444,0.014449,0.012714,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,stat_histogram,1,0.00854758333,0.009063,0.008105,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,omp_rejection,1,0.0227420556,0.023094,0.022435,0.0223113981,0.023084,0.021705,51795075,621900,671521,986570
0,ensemble_generate_particles,omp_rejection,rejection_thread_merge,2,0,0,1.79769313e+308,0.000460641204,0.001059,2.5e-05,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,cleanup_tfs,1,0.000154638889,0.00017,0.000141,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,output_coord_minmax,1,3.81944444e-05,0.001318,1e-06,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,output_particles_ave,1,0.144747417,0.190319,0.001696,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,output_particles_var,1,0.228590861,3.325783,0.001253,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,output_particles_cov,1,0.945575611,3.652235,0.004738,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,output_history,1,0.484164333,7.584563,3.6e-05,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,cleanup_cells,1,0.000111777778,0.000133,9e-05,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,write_tf_file,1,0.000152527778,0.005491,0.005491,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,async_io_wait,1,0.279907028,3.913703,1.1e-05,0,0,1.79769313e+308,51795075,621900,671521,986570
0,ensemble_generate_particles,ensemble_generate_particles_total,final_barrier_state,1,8.95441381,10.886527,4.2e-05,0,0,1.79769313e+308,51795075,621900,671521,986570
